District,Year,Crop,Production
11,1971,Wheat,37.3
11,1972,Wheat,40.2
11,1973,Wheat,25.8
11,1974,Wheat,36.1
11,1975,Wheat,37.2
11,1976,Wheat,18.9
11,1977,Wheat,21.3
11,1978,Wheat,40.0
11,1979,Wheat,28.6
11,1980,Wheat,33.4
11,1981,Wheat,42.7
11,1982,Wheat,34.8
11,1983,Wheat,62.5
11,1984,Wheat,39.2
11,1985,Wheat,45.7
11,1986,Wheat,45.0
11,1987,Wheat,44.0
11,1988,Wheat,41.2
11,1989,Wheat,51.1
11,1990,Wheat,58.8
11,1991,Wheat,29.1
11,1992,Wheat,38.8
11,1993,Wheat,71.7
11,1994,Wheat,84.2
11,1995,Wheat,72.3
11,1996,Wheat,76.8
11,1997,Wheat,40.3
11,1998,Wheat,71.4
11,1999,Wheat,95.0
11,2000,Wheat,52.1
11,2001,Wheat,83.1
11,2002,Wheat,78.8
11,2003,Wheat,93.1
11,2004,Wheat,77.7
11,2005,Wheat,91.15
11,2006,Wheat,101.31
11,2007,Wheat,93.4
11,2008,Wheat,90.1
11,2009,Wheat,90.5
11,2010,Wheat,102.1
11,2011,Wheat,127.5
11,2012,Wheat,374.26
11,2013,Wheat,346.04
11,2014,Wheat,286.0
11,2015,Wheat,277.0
11,2016,Wheat,445.0
11,2017,Wheat,523.88
12,1966,Wheat,11.0
12,1967,Wheat,34.0
12,1968,Wheat,39.0
12,1969,Wheat,33.6
12,1970,Wheat,48.4
12,1971,Wheat,50.1
12,1972,Wheat,48.5
12,1973,Wheat,48.6
12,1974,Wheat,57.6
12,1975,Wheat,53.7
12,1976,Wheat,21.8
12,1977,Wheat,50.7
12,1978,Wheat,74.3
12,1979,Wheat,22.4
12,1980,Wheat,63.4
12,1981,Wheat,70.6
12,1982,Wheat,46.0
12,1983,Wheat,65.4
12,1984,Wheat,44.5
12,1985,Wheat,45.2
12,1986,Wheat,63.0
12,1987,Wheat,81.0
12,1988,Wheat,41.2
12,1989,Wheat,56.0
12,1990,Wheat,63.7
12,1991,Wheat,33.6
12,1992,Wheat,38.6
12,1993,Wheat,73.0
12,1994,Wheat,75.5
12,1995,Wheat,59.1
12,1996,Wheat,63.4
12,1997,Wheat,27.1
12,1998,Wheat,64.0
12,1999,Wheat,61.6
12,2000,Wheat,21.9
12,2001,Wheat,49.8
12,2002,Wheat,39.6
12,2003,Wheat,48.7
12,2004,Wheat,50.65
12,2005,Wheat,44.85
12,2006,Wheat,44.02
12,2007,Wheat,40.2
12,2008,Wheat,46.0
12,2009,Wheat,42.1
12,2010,Wheat,32.7
12,2011,Wheat,51.3
12,2012,Wheat,115.32
12,2013,Wheat,127.02
12,2014,Wheat,198.0
12,2015,Wheat,173.0
12,2016,Wheat,270.0
12,2017,Wheat,228.0
13,1966,Wheat,68.0
13,1967,Wheat,157.0
13,1968,Wheat,162.0
13,1969,Wheat,159.7
13,1970,Wheat,172.4
13,1971,Wheat,221.5
13,1972,Wheat,185.1
13,1973,Wheat,188.2
13,1974,Wheat,172.3
13,1975,Wheat,197.7
13,1976,Wheat,131.4
13,1977,Wheat,209.9
13,1978,Wheat,227.1
13,1979,Wheat,175.3
13,1980,Wheat,154.2
13,1981,Wheat,235.6
13,1982,Wheat,232.7
13,1983,Wheat,238.2
13,1984,Wheat,194.7
13,1985,Wheat,246.3
13,1986,Wheat,164.0
13,1987,Wheat,247.0
13,1988,Wheat,157.7
13,1989,Wheat,197.9
13,1990,Wheat,239.5
13,1991,Wheat,192.5
13,1992,Wheat,215.3
13,1993,Wheat,260.2
13,1994,Wheat,245.3
13,1995,Wheat,251.3
13,1996,Wheat,300.1
13,1997,Wheat,241.1
13,1998,Wheat,328.1
13,1999,Wheat,264.9
13,2000,Wheat,155.2
13,2001,Wheat,205.7
13,2002,Wheat,115.1
13,2003,Wheat,183.7
13,2004,Wheat,173.09
13,2005,Wheat,174.65
13,2006,Wheat,172.58
13,2007,Wheat,131.8
13,2008,Wheat,188.2
13,2009,Wheat,244.5
13,2010,Wheat,186.5
13,2011,Wheat,295.1
13,2012,Wheat,449.7
13,2013,Wheat,425.35
13,2014,Wheat,394.0
13,2015,Wheat,346.0
13,2016,Wheat,557.0
13,2017,Wheat,893.21
14,1966,Wheat,30.0
14,1967,Wheat,83.0
14,1968,Wheat,87.0
14,1969,Wheat,99.7
14,1970,Wheat,76.2
14,1971,Wheat,95.6
14,1972,Wheat,82.4
14,1973,Wheat,79.0
14,1974,Wheat,58.0
14,1975,Wheat,97.0
14,1976,Wheat,59.7
14,1977,Wheat,70.7
14,1978,Wheat,96.5
14,1979,Wheat,46.1
14,1980,Wheat,74.3
14,1981,Wheat,91.7
14,1982,Wheat,85.2
14,1983,Wheat,106.1
14,1984,Wheat,69.6
14,1985,Wheat,79.1
14,1986,Wheat,72.0
14,1987,Wheat,90.0
14,1988,Wheat,71.0
14,1989,Wheat,79.9
14,1990,Wheat,95.6
14,1991,Wheat,82.2
14,1992,Wheat,108.0
14,1993,Wheat,137.2
14,1994,Wheat,129.6
14,1995,Wheat,123.7
14,1996,Wheat,126.9
14,1997,Wheat,131.7
14,1998,Wheat,130.9
14,1999,Wheat,147.5
14,2000,Wheat,89.2
14,2001,Wheat,113.2
14,2002,Wheat,77.1
14,2003,Wheat,96.6
14,2004,Wheat,97.85
14,2005,Wheat,102.84
14,2006,Wheat,88.41
14,2007,Wheat,99.8
14,2008,Wheat,131.8
14,2009,Wheat,136.3
14,2010,Wheat,171.4
14,2011,Wheat,197.0
14,2012,Wheat,167.97
14,2013,Wheat,164.34
14,2014,Wheat,201.0
14,2015,Wheat,161.0
14,2016,Wheat,333.0
14,2017,Wheat,285.6
15,1966,Wheat,26.0
15,1967,Wheat,49.0
15,1968,Wheat,54.0
15,1969,Wheat,67.7
15,1970,Wheat,83.9
15,1971,Wheat,82.4
15,1972,Wheat,89.6
15,1973,Wheat,49.2
15,1974,Wheat,84.9
15,1975,Wheat,97.2
15,1976,Wheat,92.4
15,1977,Wheat,84.6
15,1978,Wheat,126.4
15,1979,Wheat,86.0
15,1980,Wheat,121.2
15,1981,Wheat,136.2
15,1982,Wheat,190.0
15,1983,Wheat,205.8
15,1984,Wheat,132.9
15,1985,Wheat,255.4
15,1986,Wheat,162.0
15,1987,Wheat,162.0
15,1988,Wheat,170.7
15,1989,Wheat,75.6
15,1990,Wheat,236.0
15,1991,Wheat,224.9
15,1992,Wheat,219.2
15,1993,Wheat,258.4
15,1994,Wheat,241.3
15,1995,Wheat,198.6
15,1996,Wheat,221.8
15,1997,Wheat,249.9
15,1998,Wheat,247.8
15,1999,Wheat,280.4
15,2000,Wheat,212.9
15,2001,Wheat,208.0
15,2002,Wheat,179.6
15,2003,Wheat,250.3
15,2004,Wheat,174.82
15,2005,Wheat,126.28
15,2006,Wheat,78.24
15,2007,Wheat,28.0
15,2008,Wheat,209.2
15,2009,Wheat,168.3
15,2010,Wheat,99.0
15,2011,Wheat,241.5
15,2012,Wheat,376.24
15,2013,Wheat,321.52
15,2014,Wheat,288.0
15,2015,Wheat,180.0
15,2016,Wheat,421.0
15,2017,Wheat,243.07
16,1966,Wheat,41.0
16,1967,Wheat,66.0
16,1968,Wheat,60.0
16,1969,Wheat,81.9
16,1970,Wheat,84.6
16,1971,Wheat,81.8
16,1972,Wheat,84.1
16,1973,Wheat,63.2
16,1974,Wheat,69.0
16,1975,Wheat,99.2
16,1976,Wheat,73.6
16,1977,Wheat,81.4
16,1978,Wheat,114.7
16,1979,Wheat,45.5
16,1980,Wheat,130.1
16,1981,Wheat,108.4
16,1982,Wheat,133.3
16,1983,Wheat,138.5
16,1984,Wheat,134.1
16,1985,Wheat,153.8
16,1986,Wheat,139.0
16,1987,Wheat,117.0
16,1988,Wheat,161.4
16,1989,Wheat,104.7
